date_time,movie_id,box_office,attendees
2024-07-09,1101,0.0,0
2024-07-09,789,0.0,0
2024-07-09,775,0.0,1
2024-07-09,656,0.0,0
2024-07-09,1155,0.0,0
2024-07-09,89,0.0,0
2024-07-09,634,0.0,0
2024-07-09,668,0.0,0
2024-07-09,238,0.0,0
2024-07-09,381,0.0,0
2024-07-09,27,0.0,0
2024-07-09,332,0.0,0
2024-07-09,434,0.0,0
2024-07-09,853,0.0,0
2024-07-09,1253,0.0,0
2024-07-09,1018,0.0,0
2024-07-09,25,0.0,0
2024-07-09,831,0.0,0
2024-07-09,416,0.0,0
2024-07-09,619,0.0,0
2024-07-09,322,0.0,0
2024-07-09,1389,0.0,0
2024-07-09,58,0.0,0
2024-07-09,802,0.0,0
2024-07-09,1290,0.0,0
2024-07-09,201,0.0,0
2024-07-09,1043,0.0,0
2024-07-09,629,0.0,0
2024-07-09,915,0.0,0
2024-07-09,903,0.0,0
2024-07-09,103,0.0,0
2024-07-09,666,0.0,0
2024-07-09,1215,0.0,0
2024-07-09,1495,0.0,0
2024-07-09,177,0.0,0
2024-07-09,1421,0.0,0
2024-07-09,1236,0.0,0
2024-07-09,1474,0.0,0
2024-07-09,82,0.0,0
2024-07-09,1428,0.0,0
2024-07-09,326,0.0,0
2024-07-09,642,0.0,0
2024-07-09,356,0.0,0
2024-07-09,341,0.0,0
2024-07-09,55,0.0,0
2024-07-09,269,0.0,0
2024-07-09,149,0.0,0
2024-07-09,493,0.0,0
2024-07-09,1457,0.0,0
2024-07-09,531,0.0,0
2024-07-09,684,0.0,0
2024-07-09,781,0.0,0
2024-07-09,1448,0.0,0
2024-07-09,419,0.0,0
2024-07-09,1075,0.0,0
2024-07-09,1114,0.0,0
2024-07-09,1382,0.0,0
2024-07-09,555,0.0,0
2024-07-09,24,0.0,0
2024-07-09,1066,0.0,0
2024-07-09,66,0.0,0
2024-07-09,1242,0.0,0
2024-07-09,1480,0.0,0
2024-07-09,40,0.0,0
2024-07-09,828,0.0,0
2024-07-09,1452,0.0,0
2024-07-09,719,0.0,0
2024-07-09,400,0.0,0
2024-07-09,916,0.0,0
2024-07-09,935,0.0,0
2024-07-09,1248,0.0,0
2024-07-09,1161,0.0,0
2024-07-09,650,0.0,0
2024-07-10,94,6461.99,1577969
2024-07-10,524,741.7,187929
2024-07-10,648,667.67,175935
2024-07-10,774,589.09,147321
2024-07-10,733,207.16,53465
2024-07-10,1525,182.91,45075
2024-07-10,1116,154.56,36021
2024-07-10,496,125.6,31696
2024-07-10,1092,82.32,21217
2024-07-10,1150,52.87,14477
2024-07-10,530,45.63,9025
2024-07-10,357,43.26,11592
2024-07-10,844,25.53,6387
2024-07-10,855,24.81,6156
2024-07-10,1153,18.44,3822
2024-07-10,1337,13.06,3087
2024-07-10,966,12.02,3457
